starttime	seconds	ctime	dtime	ttime	wait
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	8	2	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	8	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	10	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	10	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	9	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	11	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	9	2	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	0	11	0
Tue Apr 24 20:41:00 2012	1335267660	10	1	11	0
